,timestamp,plala(Download),plala(Upload),wakwak(Download),wakwak(Upload),asahi(Download),asahi(Upload),ocn(Download),ocn(Upload),sonet(Download),sonet(Upload),wakwak-ipoe(Download),wakwak-ipoe(Upload)
2022/7/13 8:15,2022/07/13T08:15:00,73,51,48,106,99,60,55,59,130,57,225,41
2022/7/13 8:20,2022/07/13T08:20:00,23,58,76,58,101,67,106,51,143,63,92,32
2022/7/13 8:25,2022/07/13T08:25:00,34,60,63,68,156,59,104,51,79,37,206,41
2022/7/13 8:30,2022/07/13T08:30:00,65,22,68,56,115,51,60,38,163,59,188,48
2022/7/13 8:35,2022/07/13T08:35:00,20,54,81,82,56,51,128,48,76,75,138,46
2022/7/13 8:40,2022/07/13T08:40:00,37,40,66,68,246,59,136,59,54,71,163,44
2022/7/13 8:45,2022/07/13T08:45:00,47,56,59,80,116,61,72,36,86,59,219,27
2022/7/13 8:50,2022/07/13T08:50:00,27,59,71,70,307,32,175,43,87,47,233,43
2022/7/13 8:55,2022/07/13T08:55:00,100,41,91,92,132,57,174,51,168,61,89,47
2022/7/13 9:00,2022/07/13T09:00:00,124,44,80,90,415,45,64,37,155,67,82,31
2022/7/13 9:05,2022/07/13T09:05:00,98,35,79,74,219,55,182,44,199,59,101,45
2022/7/13 9:10,2022/07/13T09:10:00,116,48,65,96,233,58,121,41,211,57,94,47
2022/7/13 9:15,2022/07/13T09:15:00,74,55,56,82,72,57,168,67,110,52,58,42
2022/7/13 9:20,2022/07/13T09:20:00,122,44,51,93,372,57,163,32,54,71,139,35
2022/7/13 9:25,2022/07/13T09:25:00,54,46,85,84,342,64,62,52,120,52,96,37
2022/7/13 9:30,2022/07/13T09:30:00,101,49,68,85,163,57,121,61,235,38,127,47
2022/7/13 9:35,2022/07/13T09:35:00,109,49,87,106,222,54,227,52,153,66,229,53
2022/7/13 9:40,2022/07/13T09:40:00,85,49,37,89,209,54,182,43,150,54,123,39
2022/7/13 9:45,2022/07/13T09:45:00,95,52,74,58,281,56,63,59,98,67,133,48
2022/7/13 9:50,2022/07/13T09:50:00,91,51,72,34,426,80,82,58,260,45,7,41
2022/7/13 9:55,2022/07/13T09:55:00,64,49,57,89,246,52,144,55,183,69,19,46
2022/7/13 10:00,2022/07/13T10:00:00,35,49,46,29,63,64,81,58,234,53,32,45
2022/7/13 10:05,2022/07/13T10:05:00,71,39,73,35,382,61,127,51,148,56,48,48
2022/7/13 10:10,2022/07/13T10:10:00,75,46,45,83,126,46,190,53,203,56,66,51
2022/7/13 10:15,2022/07/13T10:15:00,29,47,66,35,76,56,159,71,137,55,41,36
2022/7/13 10:20,2022/07/13T10:20:00,25,47,50,29,282,57,136,54,187,76,110,43
2022/7/13 10:25,2022/07/13T10:25:00,100,45,49,60,177,61,50,56,58,54,86,42
2022/7/13 10:30,2022/07/13T10:30:00,129,37,57,49,174,45,43,62,210,68,79,32
2022/7/13 10:35,2022/07/13T10:35:00,61,47,36,53,107,65,63,57,215,65,15,32
2022/7/13 10:40,2022/07/13T10:40:00,156,49,42,73,206,52,47,64,187,69,63,43
2022/7/13 10:45,2022/07/13T10:45:00,68,43,48,63,247,61,78,56,69,62,50,40
2022/7/13 10:50,2022/07/13T10:50:00,95,42,38,81,207,60,136,69,85,58,67,44
2022/7/13 10:55,2022/07/13T10:55:00,49,39,66,36,204,71,80,59,239,76,94,39
2022/7/13 11:00,2022/07/13T11:00:00,149,54,64,37,33,65,58,55,72,62,5,28
2022/7/13 11:05,2022/07/13T11:05:00,199,48,70,30,326,57,95,57,145,67,23,48
2022/7/13 11:10,2022/07/13T11:10:00,109,47,51,57,276,65,35,52,198,64,119,43
2022/7/13 11:15,2022/07/13T11:15:00,196,49,73,64,324,76,98,50,156,60,12,33
2022/7/13 11:20,2022/07/13T11:20:00,71,31,73,38,315,53,88,61,254,68,19,39
2022/7/13 11:25,2022/07/13T11:25:00,126,56,55,79,261,69,178,43,366,55,26,33
2022/7/13 11:30,2022/07/13T11:30:00,97,40,49,71,299,25,81,52,166,73,28,24
2022/7/13 11:35,2022/07/13T11:35:00,135,52,47,61,219,61,58,55,156,24,11,23
2022/7/13 11:40,2022/07/13T11:40:00,85,57,63,39,286,62,209,51,172,65,21,35
2022/7/13 11:45,2022/07/13T11:45:00,107,54,53,53,341,59,103,58,136,60,42,34
2022/7/13 11:50,2022/07/13T11:50:00,101,47,65,68,229,59,109,74,173,47,33,40
2022/7/13 11:55,2022/07/13T11:55:00,124,56,61,82,153,42,96,52,128,66,63,35
2022/7/13 12:00,2022/07/13T12:00:00,58,54,69,49,142,51,113,55,108,50,24,32
2022/7/13 12:05,2022/07/13T12:05:00,102,56,66,32,241,48,104,49,283,58,24,38
2022/7/13 12:10,2022/07/13T12:10:00,55,37,55,35,252,46,341,64,259,49,5,19
2022/7/13 12:15,2022/07/13T12:15:00,110,52,44,68,64,60,65,51,134,26,5,31
2022/7/13 12:20,2022/07/13T12:20:00,44,42,67,54,336,48,85,65,176,61,7,32
2022/7/13 12:25,2022/07/13T12:25:00,120,38,54,55,146,60,16,20,142,50,5,37
2022/7/13 12:30,2022/07/13T12:30:00,87,45,67,44,203,50,115,52,242,56,3,25
2022/7/13 12:35,2022/07/13T12:35:00,57,54,66,39,102,62,103,51,89,62,3,33
2022/7/13 12:40,2022/07/13T12:40:00,81,30,70,56,185,55,137,53,82,54,4,38
2022/7/13 12:45,2022/07/13T12:45:00,53,50,58,85,119,47,95,61,60,53,38,41
2022/7/13 12:50,2022/07/13T12:50:00,126,35,70,88,108,58,36,55,167,48,11,29
2022/7/13 12:55,2022/07/13T12:55:00,63,52,64,47,247,54,117,53,121,37,50,38
2022/7/13 13:00,2022/07/13T13:00:00,48,35,70,48,164,54,147,31,59,57,29,36
2022/7/13 13:05,2022/07/13T13:05:00,98,47,61,55,71,66,49,50,149,22,81,41
2022/7/13 13:10,2022/07/13T13:10:00,169,50,38,54,137,59,115,57,173,70,6,35
2022/7/13 13:15,2022/07/13T13:15:00,214,43,76,85,132,71,36,64,199,58,8,35
2022/7/13 13:20,2022/07/13T13:20:00,36,46,52,89,254,47,73,69,116,57,10,30
2022/7/13 13:25,2022/07/13T13:25:00,68,59,36,38,137,59,56,43,148,37,55,44
2022/7/13 13:30,2022/07/13T13:30:00,58,34,38,29,163,79,114,21,157,48,3,43
2022/7/13 13:35,2022/07/13T13:35:00,83,54,68,36,192,51,225,67,260,56,5,36
2022/7/13 13:40,2022/07/13T13:40:00,157,39,54,32,211,53,113,50,128,45,54,30
2022/7/13 13:45,2022/07/13T13:45:00,49,47,39,44,371,63,55,60,206,55,17,36
2022/7/13 13:50,2022/07/13T13:50:00,55,57,52,31,341,63,252,55,242,60,91,24
2022/7/13 13:55,2022/07/13T13:55:00,88,49,74,50,277,49,97,58,251,67,22,49
2022/7/13 14:00,2022/07/13T14:00:00,99,41,54,67,357,48,140,65,287,63,8,33
2022/7/13 14:05,2022/07/13T14:05:00,118,57,48,38,354,50,101,59,225,72,48,35
2022/7/13 14:10,2022/07/13T14:10:00,178,39,53,72,303,60,71,28,128,42,4,33
2022/7/13 14:15,2022/07/13T14:15:00,64,49,61,51,184,79,170,40,226,50,7,45
2022/7/13 14:20,2022/07/13T14:20:00,51,44,64,88,112,48,238,61,152,39,18,38
2022/7/13 14:25,2022/07/13T14:25:00,24,36,59,69,65,68,236,58,126,54,70,31
2022/7/13 14:30,2022/07/13T14:30:00,128,42,56,81,74,50,75,43,119,58,12,32
2022/7/13 14:35,2022/07/13T14:35:00,86,42,60,56,288,56,116,47,198,72,10,29
2022/7/13 14:40,2022/07/13T14:40:00,82,48,37,36,223,51,169,46,52,59,127,44
2022/7/13 14:45,2022/07/13T14:45:00,127,42,61,70,333,63,145,59,158,59,45,41
2022/7/13 14:50,2022/07/13T14:50:00,98,51,60,88,207,58,62,59,159,68,7,44
2022/7/13 14:55,2022/07/13T14:55:00,52,47,76,52,244,63,265,64,157,63,21,35
2022/7/13 15:00,2022/07/13T15:00:00,96,44,50,61,305,42,147,62,221,51,5,38
2022/7/13 15:05,2022/07/13T15:05:00,82,36,70,67,406,56,123,52,248,41,50,37
2022/7/13 15:10,2022/07/13T15:10:00,45,39,50,40,105,43,32,62,165,35,7,23
2022/7/13 15:15,2022/07/13T15:15:00,41,54,75,88,115,51,195,56,191,63,15,18
2022/7/13 15:20,2022/07/13T15:20:00,148,51,69,74,315,51,119,39,217,55,21,42
2022/7/13 15:25,2022/07/13T15:25:00,140,50,48,87,311,32,60,29,123,38,12,41
2022/7/13 15:30,2022/07/13T15:30:00,179,37,71,33,218,58,78,60,127,69,7,26
2022/7/13 15:35,2022/07/13T15:35:00,42,35,47,50,249,30,112,64,161,52,18,25
2022/7/13 15:40,2022/07/13T15:40:00,51,62,47,30,465,18,120,52,300,44,5,21
2022/7/13 15:45,2022/07/13T15:45:00,132,50,50,40,245,54,62,39,285,42,6,39
2022/7/13 15:50,2022/07/13T15:50:00,43,46,35,58,222,54,127,55,174,46,5,30
2022/7/13 15:55,2022/07/13T15:55:00,94,46,62,78,132,56,315,50,265,42,3,27
2022/7/13 16:00,2022/07/13T16:00:00,142,49,57,46,301,49,207,51,238,56,4,30
2022/7/13 16:05,2022/07/13T16:05:00,74,35,51,87,275,54,209,57,248,33,14,26
2022/7/13 16:10,2022/07/13T16:10:00,238,41,46,88,378,68,67,55,257,36,23,43
2022/7/13 16:15,2022/07/13T16:15:00,145,45,40,84,396,71,88,63,128,66,4,34
2022/7/13 16:20,2022/07/13T16:20:00,199,42,46,40,325,59,56,54,291,39,24,38
2022/7/13 16:25,2022/07/13T16:25:00,83,44,69,52,180,59,87,35,236,37,34,36
2022/7/13 16:30,2022/07/13T16:30:00,145,43,78,82,368,56,198,58,229,46,8,40
2022/7/13 16:35,2022/07/13T16:35:00,48,40,50,65,123,41,163,47,268,55,120,42
2022/7/13 16:40,2022/07/13T16:40:00,193,39,57,46,260,54,88,54,134,62,6,33
2022/7/13 16:45,2022/07/13T16:45:00,84,45,54,49,221,70,218,50,116,59,3,27
2022/7/13 16:50,2022/07/13T16:50:00,56,60,47,73,312,58,211,59,218,54,7,29
2022/7/13 16:55,2022/07/13T16:55:00,68,39,49,36,374,63,174,40,102,46,41,32
2022/7/13 17:00,2022/07/13T17:00:00,109,43,35,62,290,60,31,56,290,47,6,33
2022/7/13 17:05,2022/07/13T17:05:00,97,40,53,57,334,46,42,32,229,30,49,19
2022/7/13 17:10,2022/07/13T17:10:00,87,34,54,88,221,71,109,46,311,58,6,21
2022/7/13 17:15,2022/07/13T17:15:00,29,60,7,18,246,59,218,40,82,45,9,34
2022/7/13 17:20,2022/07/13T17:20:00,70,52,13,28,129,38,99,49,60,30,5,33
2022/7/13 17:25,2022/07/13T17:25:00,91,49,15,26,293,54,126,29,204,46,5,26
2022/7/13 17:30,2022/07/13T17:30:00,56,43,12,25,313,49,142,38,156,62,4,25
2022/7/13 17:35,2022/07/13T17:35:00,65,42,5,32,302,42,111,64,46,76,11,31
2022/7/13 17:40,2022/07/13T17:40:00,53,45,8,27,319,33,244,46,170,57,55,46
2022/7/13 17:45,2022/07/13T17:45:00,47,41,6,25,270,54,144,39,195,63,8,25
2022/7/13 17:50,2022/07/13T17:50:00,110,39,3,36,213,24,135,38,95,59,11,34
2022/7/13 17:55,2022/07/13T17:55:00,64,30,6,23,293,53,75,45,339,25,18,38
2022/7/13 18:00,2022/07/13T18:00:00,80,36,6,42,218,27,48,27,264,51,3,9
2022/7/13 18:05,2022/07/13T18:05:00,104,57,4,36,330,55,33,28,48,29,2,28
2022/7/13 18:10,2022/07/13T18:10:00,120,48,7,35,283,60,26,30,107,24,4,28
2022/7/13 18:15,2022/07/13T18:15:00,161,59,4,22,394,48,6,30,117,41,45,45
2022/7/13 18:20,2022/07/13T18:20:00,123,42,17,38,336,39,122,47,120,59,68,28
2022/7/13 18:25,2022/07/13T18:25:00,100,56,8,35,357,53,80,33,265,41,37,38
2022/7/13 18:30,2022/07/13T18:30:00,72,40,5,24,309,42,137,47,161,55,34,44
2022/7/13 18:35,2022/07/13T18:35:00,225,47,4,11,227,12,14,45,181,59,93,45
2022/7/13 18:40,2022/07/13T18:40:00,97,55,24,28,203,51,116,37,206,41,111,21
2022/7/13 18:45,2022/07/13T18:45:00,194,52,22,27,293,33,109,34,200,46,22,18
2022/7/13 18:50,2022/07/13T18:50:00,146,50,153,59,140,53,111,37,109,45,3,36
2022/7/13 18:55,2022/07/13T18:55:00,147,40,19,38,409,48,148,29,77,40,2,22
2022/7/13 19:00,2022/07/13T19:00:00,64,49,45,29,131,39,118,56,179,44,9,30
2022/7/13 19:05,2022/07/13T19:05:00,93,46,56,22,195,44,55,57,142,42,10,32
2022/7/13 19:10,2022/07/13T19:10:00,140,37,71,26,164,54,91,51,161,21,20,28
2022/7/13 19:15,2022/07/13T19:15:00,62,47,23,33,258,30,44,48,109,47,3,31
2022/7/13 19:20,2022/07/13T19:20:00,126,41,4,37,274,32,102,53,244,40,38,36
2022/7/13 19:25,2022/07/13T19:25:00,101,56,4,40,252,58,164,51,184,36,29,41
2022/7/13 19:30,2022/07/13T19:30:00,79,38,10,30,164,63,183,23,165,57,27,20
2022/7/13 19:35,2022/07/13T19:35:00,216,20,3,24,320,46,40,52,34,33,7,48
2022/7/13 19:40,2022/07/13T19:40:00,91,39,10,36,170,54,142,44,225,32,29,28
2022/7/13 19:45,2022/07/13T19:45:00,34,48,14,36,137,40,92,34,76,47,35,29
2022/7/13 19:50,2022/07/13T19:50:00,70,50,33,45,190,40,81,60,122,64,9,43
2022/7/13 19:55,2022/07/13T19:55:00,27,50,7,30,159,51,101,38,246,53,7,29
2022/7/13 20:00,2022/07/13T20:00:00,119,51,11,16,282,46,38,40,116,34,75,38
2022/7/13 20:05,2022/07/13T20:05:00,104,59,7,37,246,49,58,39,108,29,93,42
2022/7/13 20:10,2022/07/13T20:10:00,70,54,21,47,303,47,112,46,126,37,80,42
2022/7/13 20:15,2022/07/13T20:15:00,40,46,8,29,287,45,173,56,207,65,51,48
2022/7/13 20:20,2022/07/13T20:20:00,92,53,10,38,333,24,100,50,247,65,90,40
2022/7/13 20:25,2022/07/13T20:25:00,106,34,5,23,235,63,94,58,99,43,86,37
2022/7/13 20:30,2022/07/13T20:30:00,131,45,4,25,209,36,84,38,99,34,2,45
2022/7/13 20:35,2022/07/13T20:35:00,38,43,4,36,142,36,128,29,77,43,7,50
2022/7/13 20:40,2022/07/13T20:40:00,103,53,13,26,66,64,133,71,150,49,10,36
2022/7/13 20:45,2022/07/13T20:45:00,93,48,7,25,346,66,91,50,161,70,40,40
2022/7/13 20:50,2022/07/13T20:50:00,95,55,4,31,216,21,113,40,156,45,5,23
2022/7/13 20:55,2022/07/13T20:55:00,77,34,24,31,181,51,74,55,244,53,70,37
2022/7/13 21:00,2022/07/13T21:00:00,90,53,30,35,261,38,46,41,206,52,22,44
2022/7/13 21:05,2022/07/13T21:05:00,19,47,10,22,202,58,136,54,111,62,5,31
2022/7/13 21:10,2022/07/13T21:10:00,104,43,4,29,154,54,115,32,131,49,28,43
2022/7/13 21:15,2022/07/13T21:15:00,30,46,6,12,247,47,135,43,162,45,8,30
2022/7/13 21:20,2022/07/13T21:20:00,49,42,5,20,241,50,127,62,49,30,7,30
2022/7/13 21:25,2022/07/13T21:25:00,75,46,12,38,272,47,128,40,93,54,11,34
2022/7/13 21:30,2022/07/13T21:30:00,49,34,5,27,264,40,130,56,81,22,17,38
2022/7/13 21:35,2022/07/13T21:35:00,126,62,3,40,258,49,122,34,167,25,14,25
2022/7/13 21:40,2022/07/13T21:40:00,184,61,5,24,164,57,45,35,83,33,15,34
2022/7/13 21:45,2022/07/13T21:45:00,25,55,8,42,196,45,52,51,45,42,33,44
2022/7/13 21:50,2022/07/13T21:50:00,93,52,4,44,147,28,134,52,40,31,7,35
2022/7/13 21:55,2022/07/13T21:55:00,119,44,5,35,229,56,88,24,81,33,64,34
2022/7/13 22:00,2022/07/13T22:00:00,40,46,7,33,132,50,109,58,51,24,13,38
2022/7/13 22:05,2022/07/13T22:05:00,102,54,7,25,144,53,71,35,80,39,7,27
2022/7/13 22:10,2022/07/13T22:10:00,87,48,9,30,217,50,6,42,79,27,66,38
2022/7/13 22:15,2022/07/13T22:15:00,65,54,4,32,241,35,113,42,82,70,18,33
2022/7/13 22:20,2022/07/13T22:20:00,199,50,9,36,113,41,65,49,124,52,31,21
2022/7/13 22:25,2022/07/13T22:25:00,136,39,5,25,167,36,37,59,181,53,4,26
2022/7/13 22:30,2022/07/13T22:30:00,54,41,18,34,232,59,118,52,135,39,91,34
2022/7/13 22:35,2022/07/13T22:35:00,77,47,7,45,171,44,119,63,153,48,10,30
2022/7/13 22:40,2022/07/13T22:40:00,110,59,26,32,140,46,90,44,50,20,90,43
2022/7/13 22:45,2022/07/13T22:45:00,35,45,21,44,123,45,98,35,42,49,125,38
2022/7/13 22:50,2022/07/13T22:50:00,166,43,14,35,202,37,50,34,72,47,6,34
2022/7/13 22:55,2022/07/13T22:55:00,19,50,11,43,259,45,92,26,121,65,18,34
2022/7/13 23:00,2022/07/13T23:00:00,21,46,6,58,153,40,128,53,194,61,7,27
2022/7/13 23:05,2022/07/13T23:05:00,26,38,16,56,345,36,128,53,196,57,9,37
2022/7/13 23:10,2022/07/13T23:10:00,46,64,13,63,167,33,52,49,155,55,5,30
2022/7/13 23:15,2022/07/13T23:15:00,45,51,15,42,29,41,216,54,205,66,14,44
2022/7/13 23:20,2022/07/13T23:20:00,35,47,11,31,154,55,157,45,114,48,112,31
2022/7/13 23:25,2022/07/13T23:25:00,72,52,18,46,139,44,120,52,176,46,55,41
2022/7/13 23:30,2022/07/13T23:30:00,49,51,16,26,135,22,132,46,191,42,88,51
2022/7/13 23:35,2022/07/13T23:35:00,124,52,8,38,24,50,57,46,86,66,41,42
2022/7/13 23:40,2022/07/13T23:40:00,59,50,6,29,87,39,30,39,127,51,152,43
2022/7/13 23:45,2022/07/13T23:45:00,68,47,4,34,318,45,197,46,152,58,145,39
2022/7/13 23:50,2022/07/13T23:50:00,108,41,6,39,211,41,88,58,201,67,74,44
2022/7/13 23:55,2022/07/13T23:55:00,42,50,7,29,266,18,89,35,143,74,149,49
2022/7/14 0:00,2022/07/14T00:00:00,163,38,6,41,143,48,92,54,188,61,183,41
2022/7/14 0:05,2022/07/14T00:05:00,34,63,9,29,253,60,118,39,149,63,70,49
2022/7/14 0:10,2022/07/14T00:10:00,73,41,10,33,142,64,131,46,180,41,146,42
2022/7/14 0:15,2022/07/14T00:15:00,119,54,11,36,248,54,99,56,183,30,245,38
2022/7/14 0:20,2022/07/14T00:20:00,45,44,15,36,225,46,146,28,209,49,11,42
2022/7/14 0:25,2022/07/14T00:25:00,74,50,90,42,175,53,102,37,192,44,175,34
2022/7/14 0:30,2022/07/14T00:30:00,47,30,82,76,67,21,198,43,123,67,47,30
2022/7/14 0:35,2022/07/14T00:35:00,46,54,49,57,80,60,139,34,86,63,98,40
2022/7/14 0:40,2022/07/14T00:40:00,166,52,97,52,46,46,132,60,176,48,107,53
2022/7/14 0:45,2022/07/14T00:45:00,86,49,65,52,29,59,62,49,72,48,186,45
2022/7/14 0:50,2022/07/14T00:50:00,24,34,64,53,119,53,62,32,131,58,223,38
2022/7/14 0:55,2022/07/14T00:55:00,58,38,84,40,52,31,121,63,103,40,151,46
2022/7/14 1:00,2022/07/14T01:00:00,68,35,42,47,32,36,59,56,141,47,116,36
2022/7/14 1:05,2022/07/14T01:05:00,39,48,21,39,216,30,224,60,129,43,120,52
2022/7/14 1:10,2022/07/14T01:10:00,85,37,52,47,69,40,58,48,109,59,122,44
2022/7/14 1:15,2022/07/14T01:15:00,37,47,228,22,47,25,157,60,66,52,125,45
2022/7/14 1:20,2022/07/14T01:20:00,62,51,12,52,274,35,103,40,181,57,146,20
2022/7/14 1:25,2022/07/14T01:25:00,83,34,28,51,250,30,12,26,198,56,141,43
2022/7/14 1:30,2022/07/14T01:30:00,55,46,58,55,258,29,143,44,177,42,188,18
2022/7/14 1:35,2022/07/14T01:35:00,75,40,54,42,108,44,120,42,148,71,151,29
2022/7/14 1:40,2022/07/14T01:40:00,97,48,33,52,362,39,199,37,104,61,179,42
2022/7/14 1:45,2022/07/14T01:45:00,161,35,42,39,181,28,188,21,195,52,216,43
2022/7/14 1:50,2022/07/14T01:50:00,96,28,50,53,185,33,33,51,221,35,234,56
2022/7/14 1:55,2022/07/14T01:55:00,85,44,21,54,360,51,105,43,253,21,288,50
2022/7/14 2:00,2022/07/14T02:00:00,196,39,11,48,297,47,91,34,271,61,190,44
2022/7/14 2:05,2022/07/14T02:05:00,68,47,207,61,31,38,229,43,199,54,275,52
2022/7/14 2:10,2022/07/14T02:10:00,102,41,46,50,242,45,76,34,154,54,295,42
2022/7/14 2:15,2022/07/14T02:15:00,87,31,54,38,289,54,168,49,325,53,332,45
2022/7/14 2:20,2022/07/14T02:20:00,157,35,82,64,255,48,46,61,182,36,254,27
2022/7/14 2:25,2022/07/14T02:25:00,195,51,28,50,208,56,60,58,183,36,350,51
2022/7/14 2:30,2022/07/14T02:30:00,154,63,205,125,343,42,77,45,216,67,241,39
2022/7/14 2:35,2022/07/14T02:35:00,67,38,120,47,287,29,79,34,191,54,350,53
2022/7/14 2:40,2022/07/14T02:40:00,183,59,230,67,296,51,122,42,159,46,143,51
2022/7/14 2:45,2022/07/14T02:45:00,219,67,218,140,366,48,225,40,292,79,438,27
2022/7/14 2:50,2022/07/14T02:50:00,107,44,121,126,523,57,273,53,175,56,293,31
2022/7/14 2:55,2022/07/14T02:55:00,141,42,164,64,276,39,193,59,266,78,267,46
2022/7/14 3:00,2022/07/14T03:00:00,83,38,157,99,93,67,169,73,168,37,174,33
2022/7/14 3:05,2022/07/14T03:05:00,248,32,152,82,112,74,101,62,210,44,119,44
2022/7/14 3:10,2022/07/14T03:10:00,178,31,222,110,258,69,215,59,207,64,262,53
2022/7/14 3:15,2022/07/14T03:15:00,176,59,210,116,200,35,266,38,293,74,257,44
2022/7/14 3:20,2022/07/14T03:20:00,283,21,136,81,100,50,111,37,173,15,357,38
2022/7/14 3:25,2022/07/14T03:25:00,271,53,164,104,190,41,158,43,268,24,428,46
2022/7/14 3:30,2022/07/14T03:30:00,157,36,201,97,114,45,189,37,286,62,210,38
2022/7/14 3:35,2022/07/14T03:35:00,235,50,204,96,162,76,267,76,236,65,289,44
2022/7/14 3:40,2022/07/14T03:40:00,175,56,140,122,109,37,243,39,255,58,210,28
2022/7/14 3:45,2022/07/14T03:45:00,134,30,138,54,105,61,121,49,223,57,341,28
2022/7/14 3:50,2022/07/14T03:50:00,55,53,114,62,163,61,156,43,293,38,374,49
2022/7/14 3:55,2022/07/14T03:55:00,53,40,132,56,91,54,443,39,85,72,237,29
2022/7/14 4:00,2022/07/14T04:00:00,81,38,220,77,277,47,203,48,276,29,458,33
2022/7/14 4:05,2022/07/14T04:05:00,332,46,192,126,457,47,66,52,259,45,412,41
2022/7/14 4:10,2022/07/14T04:10:00,149,46,161,125,490,36,77,64,263,61,241,54
2022/7/14 4:15,2022/07/14T04:15:00,65,34,177,137,456,55,67,58,273,60,252,52
2022/7/14 4:20,2022/07/14T04:20:00,120,30,171,112,488,69,98,33,281,39,364,30
2022/7/14 4:25,2022/07/14T04:25:00,77,56,165,62,532,36,97,45,217,41,399,29
2022/7/14 4:30,2022/07/14T04:30:00,86,44,214,55,332,47,128,44,173,69,443,26
2022/7/14 4:35,2022/07/14T04:35:00,90,52,130,71,214,48,189,58,196,45,371,38
2022/7/14 4:40,2022/07/14T04:40:00,210,40,181,106,630,37,28,54,146,37,432,38
2022/7/14 4:45,2022/07/14T04:45:00,161,50,126,121,361,50,52,61,160,52,437,28
2022/7/14 4:50,2022/07/14T04:50:00,201,37,194,99,384,49,67,38,242,55,332,42
2022/7/14 4:55,2022/07/14T04:55:00,102,42,194,98,102,41,31,53,190,70,227,42
2022/7/14 5:00,2022/07/14T05:00:00,121,39,123,60,279,49,131,43,215,64,338,18
2022/7/14 5:05,2022/07/14T05:05:00,95,61,213,77,289,63,300,60,200,60,119,30
2022/7/14 5:10,2022/07/14T05:10:00,35,56,234,53,378,25,100,41,187,39,260,54
2022/7/14 5:15,2022/07/14T05:15:00,87,58,213,114,284,59,56,22,160,49,354,51
2022/7/14 5:20,2022/07/14T05:20:00,114,41,148,139,411,55,172,55,137,58,354,37
2022/7/14 5:25,2022/07/14T05:25:00,179,26,205,42,253,42,24,71,169,41,299,43
2022/7/14 5:30,2022/07/14T05:30:00,82,46,183,105,231,56,98,21,187,52,182,36
2022/7/14 5:35,2022/07/14T05:35:00,132,51,158,108,351,64,68,65,230,47,238,43
2022/7/14 5:40,2022/07/14T05:40:00,30,48,183,123,510,29,123,46,232,35,127,33
2022/7/14 5:45,2022/07/14T05:45:00,82,52,185,98,372,36,65,55,427,47,134,35
2022/7/14 5:50,2022/07/14T05:50:00,57,51,127,43,466,54,98,40,281,53,314,36
2022/7/14 5:55,2022/07/14T05:55:00,115,56,154,60,376,42,128,34,308,39,153,38
2022/7/14 6:00,2022/07/14T06:00:00,97,37,119,94,70,66,72,50,99,59,147,37
2022/7/14 6:05,2022/07/14T06:05:00,67,40,149,137,250,42,205,68,223,63,161,43
2022/7/14 6:10,2022/07/14T06:10:00,58,41,185,69,128,64,111,46,135,53,125,49
2022/7/14 6:15,2022/07/14T06:15:00,77,45,227,121,296,39,93,61,111,53,209,54
2022/7/14 6:20,2022/07/14T06:20:00,52,50,213,84,297,59,231,62,203,59,305,40
2022/7/14 6:25,2022/07/14T06:25:00,106,52,119,96,372,54,74,64,220,59,204,49
2022/7/14 6:30,2022/07/14T06:30:00,35,48,149,52,345,75,140,45,206,41,200,45
2022/7/14 6:35,2022/07/14T06:35:00,69,46,198,63,166,43,87,55,166,63,207,52
2022/7/14 6:40,2022/07/14T06:40:00,94,38,148,102,172,45,49,57,226,32,384,44
2022/7/14 6:45,2022/07/14T06:45:00,76,49,220,81,445,48,174,51,258,54,246,26
2022/7/14 6:50,2022/07/14T06:50:00,129,47,215,53,393,34,36,66,188,59,294,43
2022/7/14 6:55,2022/07/14T06:55:00,46,42,223,107,236,69,147,64,88,72,385,50
2022/7/14 7:00,2022/07/14T07:00:00,90,31,189,69,253,32,107,44,173,25,145,40
2022/7/14 7:05,2022/07/14T07:05:00,95,54,116,125,282,50,143,58,191,55,220,49
2022/7/14 7:10,2022/07/14T07:10:00,52,50,213,66,109,70,71,68,134,52,240,41
2022/7/14 7:15,2022/07/14T07:15:00,107,45,216,102,167,55,93,26,159,37,201,34
2022/7/14 7:20,2022/07/14T07:20:00,96,23,172,130,328,60,74,30,145,66,175,47
2022/7/14 7:25,2022/07/14T07:25:00,106,36,183,96,229,60,152,55,169,39,31,37
2022/7/14 7:30,2022/07/14T07:30:00,38,39,187,97,254,42,170,51,199,52,176,18
2022/7/14 7:35,2022/07/14T07:35:00,29,46,178,86,44,48,24,56,154,55,86,43
2022/7/14 7:40,2022/07/14T07:40:00,102,42,195,83,369,64,70,61,243,39,275,51
2022/7/14 7:45,2022/07/14T07:45:00,127,57,220,46,292,58,43,55,260,62,271,34
2022/7/14 7:50,2022/07/14T07:50:00,47,45,187,43,276,61,301,63,391,63,246,42
2022/7/14 7:55,2022/07/14T07:55:00,167,51,65,96,133,18,64,67,250,55,139,54
2022/7/14 8:00,2022/07/14T08:00:00,83,37,72,53,169,60,200,49,137,57,184,33
2022/7/14 8:05,2022/07/14T08:05:00,66,40,100,86,262,45,154,63,278,60,112,39
2022/7/14 8:10,2022/07/14T08:10:00,52,43,54,47,189,59,68,36,289,41,15,24
2022/7/14 8:15,2022/07/14T08:15:00,105,39,49,57,224,36,28,72,198,58,141,28
