,timestamp,plala(Download),plala(Upload),wakwak(Download),wakwak(Upload),asahi(Download),asahi(Upload),ocn(Download),ocn(Upload),sonet(Download),sonet(Upload),wakwak-ipoe(Download),wakwak-ipoe(Upload)
2022/7/11 5:20,2022/07/11T05:20:00,146,55,217,82,217,72,48,92,99,63,329,54
2022/7/11 5:25,2022/07/11T05:25:00,226,48,200,94,552,17,77,90,237,71,305,28
2022/7/11 5:30,2022/07/11T05:30:00,133,21,163,108,260,29,113,118,211,75,352,26
2022/7/11 5:35,2022/07/11T05:35:00,96,34,114,112,533,61,84,77,168,35,172,42
2022/7/11 5:40,2022/07/11T05:40:00,126,43,151,71,408,68,78,56,262,65,249,42
2022/7/11 5:45,2022/07/11T05:45:00,207,56,122,74,505,49,90,51,168,39,342,46
2022/7/11 5:50,2022/07/11T05:50:00,243,48,181,103,412,62,65,100,218,66,336,31
2022/7/11 5:55,2022/07/11T05:55:00,55,57,125,136,341,63,118,71,392,47,247,43
2022/7/11 6:00,2022/07/11T06:00:00,134,48,212,112,382,55,119,69,306,34,318,43
2022/7/11 6:05,2022/07/11T06:05:00,163,52,203,62,269,37,91,56,275,38,205,41
2022/7/11 6:10,2022/07/11T06:10:00,160,48,141,73,283,63,40,100,471,49,326,40
2022/7/11 6:15,2022/07/11T06:15:00,112,58,139,106,309,67,116,44,102,66,205,48
2022/7/11 6:20,2022/07/11T06:20:00,96,61,238,112,219,51,92,116,161,50,124,32
2022/7/11 6:25,2022/07/11T06:25:00,207,63,230,84,196,21,65,96,208,63,264,33
2022/7/11 6:30,2022/07/11T06:30:00,55,56,206,75,218,59,118,70,229,71,234,53
2022/7/11 6:35,2022/07/11T06:35:00,73,62,216,71,147,58,94,90,161,57,186,47
2022/7/11 6:40,2022/07/11T06:40:00,84,32,183,69,217,66,43,44,162,55,289,45
2022/7/11 6:45,2022/07/11T06:45:00,54,44,161,53,178,57,108,43,109,56,136,49
2022/7/11 6:50,2022/07/11T06:50:00,87,55,201,56,190,59,65,115,135,42,249,57
2022/7/11 6:55,2022/07/11T06:55:00,94,49,142,128,116,59,84,105,143,48,106,45
2022/7/11 7:00,2022/07/11T07:00:00,37,57,140,130,112,37,53,38,88,53,162,34
2022/7/11 7:05,2022/07/11T07:05:00,141,39,204,57,158,42,107,88,121,63,142,46
2022/7/11 7:10,2022/07/11T07:10:00,111,40,162,121,92,51,90,109,149,75,162,37
2022/7/11 7:15,2022/07/11T07:15:00,85,67,181,103,107,67,81,60,38,55,182,52
2022/7/11 7:20,2022/07/11T07:20:00,155,58,194,73,150,61,110,45,99,51,146,60
2022/7/11 7:25,2022/07/11T07:25:00,121,50,125,75,215,48,107,98,132,69,194,33
2022/7/11 7:30,2022/07/11T07:30:00,184,51,227,113,58,53,109,58,116,47,301,33
2022/7/11 7:35,2022/07/11T07:35:00,97,60,211,83,125,65,38,58,161,60,186,49
2022/7/11 7:40,2022/07/11T07:40:00,92,59,240,55,47,48,116,56,46,60,195,55
2022/7/11 7:45,2022/07/11T07:45:00,170,65,179,45,135,47,93,56,128,56,259,44
2022/7/11 7:50,2022/07/11T07:50:00,161,50,164,105,46,38,64,81,122,56,69,52
2022/7/11 7:55,2022/07/11T07:55:00,59,55,96,88,74,69,111,121,160,63,97,29
2022/7/11 8:00,2022/07/11T08:00:00,94,58,91,55,106,65,64,91,166,39,162,19
2022/7/11 8:05,2022/07/11T08:05:00,149,59,45,110,230,48,84,106,92,55,65,53
2022/7/11 8:10,2022/07/11T08:10:00,81,42,84,41,443,60,59,80,123,61,151,44
2022/7/11 8:15,2022/07/11T08:15:00,98,65,75,81,134,58,104,38,146,71,252,27
2022/7/11 8:20,2022/07/11T08:20:00,78,58,68,42,252,63,55,80,36,75,104,53
2022/7/11 8:25,2022/07/11T08:25:00,119,31,72,77,370,56,80,75,256,57,96,33
2022/7/11 8:30,2022/07/11T08:30:00,85,65,103,103,196,59,99,41,253,63,99,34
2022/7/11 8:35,2022/07/11T08:35:00,92,67,102,92,346,47,68,100,159,66,222,36
2022/7/11 8:40,2022/07/11T08:40:00,77,64,59,96,187,52,78,42,147,52,176,56
2022/7/11 8:45,2022/07/11T08:45:00,153,61,85,83,65,59,65,83,148,62,170,41
2022/7/11 8:50,2022/07/11T08:50:00,194,53,65,69,243,54,57,75,174,52,241,39
2022/7/11 8:55,2022/07/11T08:55:00,82,69,75,46,207,54,118,80,178,59,44,40
2022/7/11 9:00,2022/07/11T09:00:00,155,57,63,77,201,54,118,82,222,52,180,45
2022/7/11 9:05,2022/07/11T09:05:00,90,44,55,106,175,44,50,98,119,51,233,44
2022/7/11 9:10,2022/07/11T09:10:00,118,55,68,59,100,54,84,47,210,51,263,44
2022/7/11 9:15,2022/07/11T09:15:00,37,38,53,69,192,34,98,107,175,63,240,41
2022/7/11 9:20,2022/07/11T09:20:00,81,55,79,79,164,55,111,38,184,59,127,45
2022/7/11 9:25,2022/07/11T09:25:00,133,57,43,40,152,63,101,77,151,69,149,36
2022/7/11 9:30,2022/07/11T09:30:00,55,56,74,48,99,58,78,44,231,51,156,24
2022/7/11 9:35,2022/07/11T09:35:00,144,61,38,41,110,49,87,41,78,53,158,40
2022/7/11 9:40,2022/07/11T09:40:00,33,61,59,74,160,60,77,59,275,63,122,41
2022/7/11 9:45,2022/07/11T09:45:00,91,67,78,62,197,67,38,42,175,66,227,51
2022/7/11 9:50,2022/07/11T09:50:00,56,70,53,30,139,63,104,116,125,57,89,35
2022/7/11 9:55,2022/07/11T09:55:00,66,50,61,84,136,65,62,49,114,55,135,40
2022/7/11 10:00,2022/07/11T10:00:00,127,34,77,51,192,67,103,108,191,62,180,45
2022/7/11 10:05,2022/07/11T10:05:00,91,56,41,77,197,57,81,55,196,59,148,49
2022/7/11 10:10,2022/07/11T10:10:00,159,49,47,71,282,56,81,99,287,43,217,45
2022/7/11 10:15,2022/07/11T10:15:00,55,49,45,67,184,51,79,75,149,60,218,49
2022/7/11 10:20,2022/07/11T10:20:00,71,60,58,39,120,57,58,74,144,71,84,49
2022/7/11 10:25,2022/07/11T10:25:00,92,39,57,31,243,51,94,121,134,54,103,51
2022/7/11 10:30,2022/07/11T10:30:00,77,65,46,36,154,54,53,121,84,63,209,42
2022/7/11 10:35,2022/07/11T10:35:00,27,64,50,55,195,69,42,96,84,52,55,44
2022/7/11 10:40,2022/07/11T10:40:00,200,61,63,40,297,32,101,68,123,52,66,42
2022/7/11 10:45,2022/07/11T10:45:00,164,56,44,52,162,60,119,113,243,51,34,47
2022/7/11 10:50,2022/07/11T10:50:00,94,57,56,60,199,61,64,53,183,60,105,40
2022/7/11 10:55,2022/07/11T10:55:00,118,60,48,39,58,70,39,53,47,60,15,45
2022/7/11 11:00,2022/07/11T11:00:00,135,52,77,39,121,53,81,51,69,75,166,42
2022/7/11 11:05,2022/07/11T11:05:00,84,67,58,64,171,57,43,70,77,55,65,48
2022/7/11 11:10,2022/07/11T11:10:00,107,49,40,55,166,57,49,42,98,62,70,39
2022/7/11 11:15,2022/07/11T11:15:00,90,46,36,69,124,24,52,49,83,45,34,54
2022/7/11 11:20,2022/07/11T11:20:00,191,55,39,71,211,56,79,66,196,53,107,48
2022/7/11 11:25,2022/07/11T11:25:00,167,47,40,73,163,59,87,59,242,60,171,47
2022/7/11 11:30,2022/07/11T11:30:00,44,51,77,79,162,24,42,73,125,55,130,37
2022/7/11 11:35,2022/07/11T11:35:00,118,39,50,65,109,72,59,74,138,42,130,33
2022/7/11 11:40,2022/07/11T11:40:00,89,63,70,68,182,51,67,88,171,51,31,47
2022/7/11 11:45,2022/07/11T11:45:00,89,54,52,41,115,54,71,103,175,60,35,23
2022/7/11 11:50,2022/07/11T11:50:00,94,63,47,45,268,43,121,56,59,60,34,36
2022/7/11 11:55,2022/07/11T11:55:00,72,54,76,80,181,53,112,103,180,58,183,42
2022/7/11 12:00,2022/07/11T12:00:00,50,51,41,54,195,43,74,88,199,60,33,41
2022/7/11 12:05,2022/07/11T12:05:00,72,53,42,40,244,63,41,58,71,55,83,45
2022/7/11 12:10,2022/07/11T12:10:00,122,56,75,38,309,57,95,103,155,52,69,44
2022/7/11 12:15,2022/07/11T12:15:00,139,42,72,34,211,46,119,107,181,64,105,46
2022/7/11 12:20,2022/07/11T12:20:00,139,50,57,71,456,53,70,96,74,60,112,45
2022/7/11 12:25,2022/07/11T12:25:00,40,48,63,65,348,21,69,75,111,51,165,30
2022/7/11 12:30,2022/07/11T12:30:00,211,62,71,48,244,62,58,72,161,63,49,23
2022/7/11 12:35,2022/07/11T12:35:00,75,50,65,64,294,64,117,102,202,55,13,28
2022/7/11 12:40,2022/07/11T12:40:00,192,66,56,61,386,72,76,71,196,57,183,48
2022/7/11 12:45,2022/07/11T12:45:00,103,58,46,56,319,26,83,48,85,60,66,39
2022/7/11 12:50,2022/07/11T12:50:00,60,48,45,59,252,75,50,54,90,60,169,43
2022/7/11 12:55,2022/07/11T12:55:00,162,59,73,52,120,67,64,83,57,39,131,46
2022/7/11 13:00,2022/07/11T13:00:00,112,41,68,57,275,37,74,43,177,52,122,42
2022/7/11 13:05,2022/07/11T13:05:00,126,57,44,80,177,66,65,66,127,70,62,33
2022/7/11 13:10,2022/07/11T13:10:00,114,58,59,90,159,68,117,88,147,46,65,36
2022/7/11 13:15,2022/07/11T13:15:00,108,55,43,79,86,78,104,45,163,43,97,27
2022/7/11 13:20,2022/07/11T13:20:00,78,68,47,38,144,53,98,42,136,44,127,46
2022/7/11 13:25,2022/07/11T13:25:00,59,53,76,87,268,16,103,103,154,59,56,43
2022/7/11 13:30,2022/07/11T13:30:00,105,31,53,35,193,50,113,69,106,55,134,46
2022/7/11 13:35,2022/07/11T13:35:00,127,49,41,44,153,61,67,111,79,60,55,34
2022/7/11 13:40,2022/07/11T13:40:00,130,51,50,62,240,54,71,74,99,66,102,40
2022/7/11 13:45,2022/07/11T13:45:00,53,35,39,45,115,45,55,48,112,60,56,47
2022/7/11 13:50,2022/07/11T13:50:00,150,46,37,53,129,41,112,83,86,53,53,38
2022/7/11 13:55,2022/07/11T13:55:00,134,67,51,69,356,35,49,61,171,32,36,21
2022/7/11 14:00,2022/07/11T14:00:00,167,35,62,61,171,51,59,106,208,42,9,39
2022/7/11 14:05,2022/07/11T14:05:00,175,62,42,78,374,70,47,112,94,59,106,44
2022/7/11 14:10,2022/07/11T14:10:00,103,48,66,85,319,53,50,94,200,59,31,33
2022/7/11 14:15,2022/07/11T14:15:00,120,72,54,59,216,68,105,44,126,52,55,36
2022/7/11 14:20,2022/07/11T14:20:00,250,52,50,52,382,37,109,89,180,53,68,38
2022/7/11 14:25,2022/07/11T14:25:00,99,45,74,35,330,41,105,53,118,68,94,33
2022/7/11 14:30,2022/07/11T14:30:00,155,67,52,64,249,68,56,66,256,65,41,30
2022/7/11 14:35,2022/07/11T14:35:00,140,67,57,47,430,55,47,49,137,47,99,33
2022/7/11 14:40,2022/07/11T14:40:00,116,60,48,83,196,49,86,48,87,59,110,49
2022/7/11 14:45,2022/07/11T14:45:00,42,61,60,60,254,33,112,88,97,62,45,27
2022/7/11 14:50,2022/07/11T14:50:00,150,56,54,45,237,51,104,48,58,25,54,41
2022/7/11 14:55,2022/07/11T14:55:00,83,40,61,41,291,63,58,62,84,41,117,32
2022/7/11 15:00,2022/07/11T15:00:00,78,30,56,83,341,63,110,39,220,38,133,39
2022/7/11 15:05,2022/07/11T15:05:00,201,35,75,38,352,64,72,50,156,58,130,36
2022/7/11 15:10,2022/07/11T15:10:00,249,38,56,68,289,43,44,56,170,59,96,29
2022/7/11 15:15,2022/07/11T15:15:00,152,48,60,67,265,29,40,54,191,50,81,20
2022/7/11 15:20,2022/07/11T15:20:00,234,51,60,47,259,39,91,79,163,64,19,39
2022/7/11 15:25,2022/07/11T15:25:00,162,56,71,31,325,48,105,82,63,37,120,31
2022/7/11 15:30,2022/07/11T15:30:00,95,55,35,73,273,33,100,47,136,69,78,20
2022/7/11 15:35,2022/07/11T15:35:00,102,31,64,65,330,60,70,98,79,46,12,44
2022/7/11 15:40,2022/07/11T15:40:00,176,60,39,81,137,55,88,111,205,43,67,38
2022/7/11 15:45,2022/07/11T15:45:00,158,65,59,70,352,56,113,104,108,47,26,49
2022/7/11 15:50,2022/07/11T15:50:00,87,24,56,31,290,65,73,85,242,23,92,32
2022/7/11 15:55,2022/07/11T15:55:00,180,53,58,83,351,43,119,120,114,26,72,34
2022/7/11 16:00,2022/07/11T16:00:00,156,42,50,37,106,50,97,116,89,28,47,46
2022/7/11 16:05,2022/07/11T16:05:00,132,58,43,79,206,42,102,46,100,33,82,51
2022/7/11 16:10,2022/07/11T16:10:00,163,61,65,61,86,57,40,86,156,49,21,33
2022/7/11 16:15,2022/07/11T16:15:00,51,47,66,81,199,69,112,111,119,63,41,34
2022/7/11 16:20,2022/07/11T16:20:00,51,34,55,87,214,52,90,67,145,62,12,37
2022/7/11 16:25,2022/07/11T16:25:00,72,41,62,83,206,42,58,64,216,56,6,30
2022/7/11 16:30,2022/07/11T16:30:00,164,38,50,89,105,52,120,63,109,59,73,46
2022/7/11 16:35,2022/07/11T16:35:00,49,33,76,62,185,56,64,61,178,35,36,33
2022/7/11 16:40,2022/07/11T16:40:00,81,60,69,49,450,62,64,48,169,67,35,35
2022/7/11 16:45,2022/07/11T16:45:00,113,51,56,37,226,71,107,41,235,35,7,25
2022/7/11 16:50,2022/07/11T16:50:00,71,53,60,69,363,56,92,57,150,60,70,26
2022/7/11 16:55,2022/07/11T16:55:00,274,58,59,81,302,27,52,40,233,51,45,38
2022/7/11 17:00,2022/07/11T17:00:00,204,66,20,22,345,25,120,42,297,54,14,35
2022/7/11 17:05,2022/07/11T17:05:00,105,60,11,24,195,17,72,56,138,55,11,42
2022/7/11 17:10,2022/07/11T17:10:00,192,25,18,26,292,27,105,101,176,35,39,33
2022/7/11 17:15,2022/07/11T17:15:00,171,40,7,39,143,36,99,40,203,63,53,47
2022/7/11 17:20,2022/07/11T17:20:00,39,52,13,40,281,32,106,79,223,30,144,53
2022/7/11 17:25,2022/07/11T17:25:00,207,36,19,39,330,38,62,76,71,62,126,37
2022/7/11 17:30,2022/07/11T17:30:00,239,59,19,39,284,62,65,83,78,40,89,31
2022/7/11 17:35,2022/07/11T17:35:00,163,45,20,26,198,64,101,56,55,51,106,50
2022/7/11 17:40,2022/07/11T17:40:00,155,52,8,27,345,24,43,76,199,29,109,46
2022/7/11 17:45,2022/07/11T17:45:00,63,67,12,37,316,42,111,41,269,43,17,40
2022/7/11 17:50,2022/07/11T17:50:00,190,52,5,18,209,63,68,81,149,52,29,22
2022/7/11 17:55,2022/07/11T17:55:00,128,59,8,31,273,58,63,62,239,61,7,31
2022/7/11 18:00,2022/07/11T18:00:00,91,23,17,24,336,62,86,91,171,56,37,44
2022/7/11 18:05,2022/07/11T18:05:00,220,40,5,38,125,53,68,88,138,67,134,48
2022/7/11 18:10,2022/07/11T18:10:00,58,62,5,32,216,65,104,105,241,64,145,46
2022/7/11 18:15,2022/07/11T18:15:00,159,45,5,35,336,40,111,103,149,57,111,25
2022/7/11 18:20,2022/07/11T18:20:00,214,68,6,22,268,21,89,58,230,53,65,46
2022/7/11 18:25,2022/07/11T18:25:00,126,53,7,29,313,58,98,97,229,58,140,43
2022/7/11 18:30,2022/07/11T18:30:00,74,41,9,32,252,57,49,109,204,60,107,32
2022/7/11 18:35,2022/07/11T18:35:00,90,54,8,21,130,48,43,78,163,74,139,51
2022/7/11 18:40,2022/07/11T18:40:00,108,57,16,29,216,68,91,66,178,62,90,54
2022/7/11 18:45,2022/07/11T18:45:00,109,41,9,33,227,67,38,99,107,53,11,38
2022/7/11 18:50,2022/07/11T18:50:00,134,65,12,30,246,58,71,84,97,65,61,41
2022/7/11 18:55,2022/07/11T18:55:00,112,58,14,23,306,41,86,65,132,62,24,36
2022/7/11 19:00,2022/07/11T19:00:00,154,50,9,33,282,38,84,72,170,56,26,23
